evolution_id,name,name_zh,slug,date_range_start,date_range_end,exact_release_date,category,status,free,repeatable,url,popular_url,popular_status,popular_player_count
467,CM Roles++,,cm-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/467/cm-roles,https://www.futbin.com/26/popular/evolutions?evo_id=467,no-popular-players,0
468,LW Roles++,,lw-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/468/lw-roles,https://www.futbin.com/26/popular/evolutions?evo_id=468,no-popular-players,0
469,RW Roles++,,rw-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/469/rw-roles,https://www.futbin.com/26/popular/evolutions?evo_id=469,no-popular-players,0
470,ST Roles++,,st-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/470/st-roles,https://www.futbin.com/26/popular/evolutions?evo_id=470,no-popular-players,0
471,LM Roles++,,lm-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/471/lm-roles,https://www.futbin.com/26/popular/evolutions?evo_id=471,no-popular-players,0
472,RM Roles++,,rm-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/472/rm-roles,https://www.futbin.com/26/popular/evolutions?evo_id=472,no-popular-players,0
473,CAM Roles++,,cam-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/473/cam-roles,https://www.futbin.com/26/popular/evolutions?evo_id=473,no-popular-players,0
474,Get your Protein,,get-your-protein,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,2,https://www.futbin.com/26/evolutions/474/get-your-protein,https://www.futbin.com/26/popular/evolutions?evo_id=474,no-popular-players,0
475,Knockout Royalty,,knockout-royalty,2025-09-18,2026-02-14,,COSMETICS,expired,,2,https://www.futbin.com/26/evolutions/475/knockout-royalty,https://www.futbin.com/26/popular/evolutions?evo_id=475,no-popular-players,0
476,Knockout Royalty Icon,,knockout-royalty-icon,2025-09-18,2026-02-14,,COSMETICS,expired,,2,https://www.futbin.com/26/evolutions/476/knockout-royalty-icon,https://www.futbin.com/26/popular/evolutions?evo_id=476,no-popular-players,0
477,Tiki Taka+,,tiki-taka,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/477/tiki-taka,https://www.futbin.com/26/popular/evolutions?evo_id=477,no-popular-players,0
478,Block+,,block,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/478/block,https://www.futbin.com/26/popular/evolutions?evo_id=478,no-popular-players,0
479,Bruiser+,,bruiser,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/479/bruiser,https://www.futbin.com/26/popular/evolutions?evo_id=479,no-popular-players,0
480,Complete Fnisher,,complete-fnisher,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/480/complete-fnisher,https://www.futbin.com/26/popular/evolutions?evo_id=480,no-popular-players,0
481,Positional Excellence,,positional-excellence,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/481/positional-excellence,https://www.futbin.com/26/popular/evolutions?evo_id=481,no-popular-players,0
482,Inside Edge,,inside-edge,2025-09-18,2026-02-14,,REWARDS,active,true,true,https://www.futbin.com/26/evolutions/482/inside-edge,https://www.futbin.com/26/popular/evolutions?evo_id=482,no-popular-players,0
